ID_NEON,ID_SENTINEL2,Collection_NEON,Collection_Sentinel,x,y,crs,sentinel2_id,neon_id
2022_UKFS_6,20220608T170849_20220608T171949_T15SUD,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,309999.9998270118,4322000.000272201,32615,COPERNICUS/S2_HARMONIZED/20220608T170849_20220608T171949_T15SUD,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_UKFS_6
2022_UNDE_5,20220620T165901_20220620T171040_T15TYM,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,306499.9987155942,5120000.001310234,32616,COPERNICUS/S2_HARMONIZED/20220620T165901_20220620T171040_T15TYM,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_UNDE_5
2022_UNDE_5,20220620T165901_20220620T171040_T16TCS,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,306499.9987155942,5120000.001310234,32616,COPERNICUS/S2_HARMONIZED/20220620T165901_20220620T171040_T16TCS,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_UNDE_5
2022_WREF_5,20220711T185919_20220711T190833_T10TER,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,582499.9988640277,5075999.999766018,32610,COPERNICUS/S2_HARMONIZED/20220711T185919_20220711T190833_T10TER,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_WREF_5
2022_YELL_4,20220621T180931_20220621T181040_T12TWQ,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,538000.0017537111,4975000.001377378,32612,COPERNICUS/S2_HARMONIZED/20220621T180931_20220621T181040_T12TWQ,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_YELL_4
2023_ARIK_5,20230813T172901_20230813T174104_T13SGD,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,712500.063593076,4396024.596912476,32613,COPERNICUS/S2_HARMONIZED/20230813T172901_20230813T174104_T13SGD,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_ARIK_5
2023_ARIK_5,20230813T172901_20230813T174104_T13TGE,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,712499.9995135082,4401499.9985420015,32613,COPERNICUS/S2_HARMONIZED/20230813T172901_20230813T174104_T13TGE,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_ARIK_5
2023_DEJU_5,20230720T211521_20230720T211515_T06VWR,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,563500.000421843,7082499.999754384,32606,COPERNICUS/S2_HARMONIZED/20230720T211521_20230720T211515_T06VWR,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_DEJU_5
2023_DSNY_7,20230418T155821_20230418T160614_T17RMM,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,458000.00029004575,3107000.000640661,32617,COPERNICUS/S2_HARMONIZED/20230418T155821_20230418T160614_T17RMM,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_DSNY_7
2023_HEAL_5,20230812T212531_20230812T212612_T05VPL,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,390999.9996584498,7085499.998858432,32606,COPERNICUS/S2_HARMONIZED/20230812T212531_20230812T212612_T05VPL,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_HEAL_5
2023_HEAL_5,20230812T212531_20230812T212612_T05WPM,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,391177.0764605725,7089796.021674417,32606,COPERNICUS/S2_HARMONIZED/20230812T212531_20230812T212612_T05WPM,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_HEAL_5
2023_HEAL_5,20230812T212531_20230812T212612_T06VUR,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,390999.9996584498,7085499.998858432,32606,COPERNICUS/S2_HARMONIZED/20230812T212531_20230812T212612_T06VUR,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_HEAL_5
2023_HEAL_5,20230813T214539_20230813T214533_T05VPL,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,390999.9996584498,7085499.998858432,32606,COPERNICUS/S2_HARMONIZED/20230813T214539_20230813T214533_T05VPL,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_HEAL_5
2023_HEAL_5,20230813T214539_20230813T214533_T05WPM,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,391177.0452104542,7089795.876141967,32606,COPERNICUS/S2_HARMONIZED/20230813T214539_20230813T214533_T05WPM,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_HEAL_5
2023_HEAL_5,20230813T214539_20230813T214533_T06VUR,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,390999.9996584498,7085499.998858432,32606,COPERNICUS/S2_HARMONIZED/20230813T214539_20230813T214533_T06VUR,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_HEAL_5
2023_JERC_7,20230501T160821_20230501T161942_T16RGV,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,740999.9989320706,3459000.0008556284,32616,COPERNICUS/S2_HARMONIZED/20230501T160821_20230501T161942_T16RGV,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_JERC_7
2023_MLBS_6,20230602T155819_20230602T160940_T17SNB,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,541500.0004147047,4137500.000195911,32617,COPERNICUS/S2_HARMONIZED/20230602T155819_20230602T160940_T17SNB,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_MLBS_6
2023_OAES_7,20230507T171859_20230507T172536_T14SME,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,491000.0010486118,3913500.000954498,32614,COPERNICUS/S2_HARMONIZED/20230507T171859_20230507T172536_T14SME,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_OAES_7
2023_ONAQ_5,20230425T181919_20230425T182746_T12TUK,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,372999.9995777239,4450500.000806483,32612,COPERNICUS/S2_HARMONIZED/20230425T181919_20230425T182746_T12TUK,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_ONAQ_5
2023_OSBS_7,20230423T155819_20230423T160343_T17RLN,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,401894.47036367713,3284500.044601837,32617,COPERNICUS/S2_HARMONIZED/20230423T155819_20230423T160343_T17RLN,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_OSBS_7
2023_OSBS_7,20230423T155819_20230423T160343_T17RMN,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,406474.9173717266,3284499.9236709825,32617,COPERNICUS/S2_HARMONIZED/20230423T155819_20230423T160343_T17RMN,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_OSBS_7
2023_SCBI_6,20230617T155821_20230617T161043_T17SQD,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,746999.9999587294,4306500.000311547,32617,COPERNICUS/S2_HARMONIZED/20230617T155821_20230617T161043_T17SQD,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_SCBI_6
2023_SCBI_6,20230617T155821_20230617T161043_T18STJ,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,746999.9999587294,4306500.000311547,32617,COPERNICUS/S2_HARMONIZED/20230617T155821_20230617T161043_T18STJ,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_SCBI_6
2023_SJER_6,20230401T183929_20230401T184336_T10SGG,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,256999.9991527217,4107999.9988560616,32611,COPERNICUS/S2_HARMONIZED/20230401T183929_20230401T184336_T10SGG,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_SJER_6
2023_SJER_6,20230401T183929_20230401T184336_T11SKB,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,256999.9991527217,4107999.9988560616,32611,COPERNICUS/S2_HARMONIZED/20230401T183929_20230401T184336_T11SKB,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_SJER_6
2023_SOAP_6,20230605T183921_20230605T184700_T11SKA,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,304499.9229216186,4096524.67632602,32611,COPERNICUS/S2_HARMONIZED/20230605T183921_20230605T184700_T11SKA,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_SOAP_6
2023_SOAP_6,20230605T183921_20230605T184700_T11SKB,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,304500.0016215944,4101999.99994154,32611,COPERNICUS/S2_HARMONIZED/20230605T183921_20230605T184700_T11SKB,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_SOAP_6
2023_SOAP_6,20230605T183921_20230605T184700_T11SLA,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,304499.8936379954,4096524.687440037,32611,COPERNICUS/S2_HARMONIZED/20230605T183921_20230605T184700_T11SLA,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_SOAP_6
2023_SOAP_6,20230605T183921_20230605T184700_T11SLB,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,304500.0016215944,4101999.99994154,32611,COPERNICUS/S2_HARMONIZED/20230605T183921_20230605T184700_T11SLB,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_SOAP_6
2023_SOAP_7,20230705T183921_20230705T184701_T11SKB,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,297500.00030608475,4103000.000996575,32611,COPERNICUS/S2_HARMONIZED/20230705T183921_20230705T184701_T11SKB,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_SOAP_7
2023_UKFS_7,20230524T170859_20230524T171356_T15STD,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,306383.9968384419,4322000.074108659,32615,COPERNICUS/S2_HARMONIZED/20230524T170859_20230524T171356_T15STD,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_UKFS_7
2023_UKFS_7,20230524T170859_20230524T171356_T15SUD,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,309999.9998378765,4321999.999200259,32615,COPERNICUS/S2_HARMONIZED/20230524T170859_20230524T171356_T15SUD,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_UKFS_7
2023_WOOD_6,20230619T172859_20230619T173914_T14TMT,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,487000.0014286905,5222999.999123447,32614,COPERNICUS/S2_HARMONIZED/20230619T172859_20230619T173914_T14TMT,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_WOOD_6
2024_BART_7,20240829T153819_20240829T154422_T18TYP,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,318000.0016220662,4878500.000809382,32619,COPERNICUS/S2_HARMONIZED/20240829T153819_20240829T154422_T18TYP,projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_BART_7
2024_BART_7,20240829T153819_20240829T154422_T19TCJ,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,318000.0016220662,4878500.000809382,32619,COPERNICUS/S2_HARMONIZED/20240829T153819_20240829T154422_T19TCJ,projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_BART_7
2024_BONA_6,20240710T213531_20240710T213530_T06WVT,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,476000.0010763272,7228500.00051197,32606,COPERNICUS/S2_HARMONIZED/20240710T213531_20240710T213530_T06WVT,projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_BONA_6
2024_CLBJ_8,20240513T170851_20240513T172119_T14SPB,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,628999.996290399,3692514.462190384,32614,COPERNICUS/S2_HARMONIZED/20240513T170851_20240513T172119_T14SPB,projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_CLBJ_8
2024_CLBJ_8,20240513T170851_20240513T172119_T14SPC,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,629000.0628927717,3695624.981616221,32614,COPERNICUS/S2_HARMONIZED/20240513T170851_20240513T172119_T14SPC,projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_CLBJ_8
2024_HARV_8,20240814T153941_20240814T154651_T18TYM,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,730500.0121192476,4697024.442144513,32618,COPERNICUS/S2_HARMONIZED/20240814T153941_20240814T154651_T18TYM,projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_HARV_8
2024_HARV_8,20240814T153941_20240814T154651_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,730500.0007410131,4707499.997619426,32618,COPERNICUS/S2_HARMONIZED/20240814T153941_20240814T154651_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_HARV_8
2024_HEAL_6,20240718T214529_20240718T214650_T05VPL,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,390999.9996584498,7085499.998858432,32606,COPERNICUS/S2_HARMONIZED/20240718T214529_20240718T214650_T05VPL,projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_HEAL_6
2024_HEAL_6,20240718T214529_20240718T214650_T05WPM,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,391177.0452104542,7089795.876141967,32606,COPERNICUS/S2_HARMONIZED/20240718T214529_20240718T214650_T05WPM,projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_HEAL_6
2024_HEAL_6,20240718T214529_20240718T214650_T06VUR,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,390999.9996584498,7085499.998858432,32606,COPERNICUS/S2_HARMONIZED/20240718T214529_20240718T214650_T06VUR,projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_HEAL_6
2024_HOPB_5,20240903T153941_20240903T154200_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,717999.9996913087,4707500.001164001,32618,COPERNICUS/S2_HARMONIZED/20240903T153941_20240903T154200_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_HOPB_5
2024_JERC_8,20240508T161901_20240508T162903_T16RGV,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,739084.7454342064,3459605.538051201,32616,COPERNICUS/S2_HARMONIZED/20240508T161901_20240508T162903_T16RGV,projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_JERC_8
2024_LENO_8,20240526T162829_20240526T163544_T16SCA,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,387000.00036401895,3523000.002834179,32616,COPERNICUS/S2_HARMONIZED/20240526T162829_20240526T163544_T16SCA,projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_LENO_8
2024_MCDI_4,20240612T170901_20240612T171745_T14SQJ,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,718499.9994522029,4315499.998902327,32614,COPERNICUS/S2_HARMONIZED/20240612T170901_20240612T171745_T14SQJ,projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_MCDI_4
2024_OAES_8,20240521T171859_20240521T172520_T14SME,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,491000.0010486118,3913500.000954498,32614,COPERNICUS/S2_HARMONIZED/20240521T171859_20240521T172520_T14SME,projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_OAES_8
2024_PRIN_7,20240518T170849_20240518T171459_T14SNB,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,606384.956730013,3692999.8611740414,32614,COPERNICUS/S2_HARMONIZED/20240518T170849_20240518T171459_T14SNB,projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_PRIN_7
2024_PRIN_7,20240518T170849_20240518T171459_T14SNC,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,606384.910805932,3695125.295568774,32614,COPERNICUS/S2_HARMONIZED/20240518T170849_20240518T171459_T14SNC,projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_PRIN_7
2024_PRIN_7,20240518T170849_20240518T171459_T14SPB,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,609000.0004851478,3692999.999537058,32614,COPERNICUS/S2_HARMONIZED/20240518T170849_20240518T171459_T14SPB,projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_PRIN_7
2024_PRIN_7,20240518T170849_20240518T171459_T14SPC,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,609000.0562107355,3695125.157037343,32614,COPERNICUS/S2_HARMONIZED/20240518T170849_20240518T171459_T14SPC,projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_PRIN_7
2024_SOAP_8,20240609T183921_20240609T185104_T11SKA,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,299499.9953086708,4097024.6225838223,32611,COPERNICUS/S2_HARMONIZED/20240609T183921_20240609T185104_T11SKA,projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_SOAP_8
2024_SOAP_8,20240609T183921_20240609T185104_T11SKB,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,299499.9999484206,4102000.000267103,32611,COPERNICUS/S2_HARMONIZED/20240609T183921_20240609T185104_T11SKB,projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_SOAP_8
2024_SOAP_8,20240609T183921_20240609T185104_T11SLA,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,303495.001961418,4097024.630372342,32611,COPERNICUS/S2_HARMONIZED/20240609T183921_20240609T185104_T11SLA,projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_SOAP_8
2024_SOAP_8,20240609T183921_20240609T185104_T11SLB,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,303494.6877534312,4102000.228254023,32611,COPERNICUS/S2_HARMONIZED/20240609T183921_20240609T185104_T11SLB,projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_SOAP_8
